ui_id,screen_type,image_path,source,heuristic,issue,severity,suggestion,expert
home_screen_01,homescreen,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/homescreen_01.png,mobbin,Visibility of system status,"The bottom navigation bar uses very thin icons and labels. The active state ('Explore') is indicated only by a slightly darker pink/red color. For users with low vision or color blindness, it is difficult to tell which tab is currently active",3,Enhance the active state by using a solid filled icon (rather than an outline) or adding a small indicator bar below/above the active tab. Ensure the contrast ratio meets WCAG AA (4.5:1),ui ux expert
home_screen_02,homescreen,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/homescreen_02.png,dribbble,Visibility of system status,"The bottom navigation bar uses the color purple to indicate the active state (""Booster""). However, the ""Learn,"" ""Review,"" and ""Leaderboard"" icons are very thin and light gray, making it hard to see the inactive options.",2,"Increase the stroke weight of the inactive icons and darken the gray to ensure the ""system status"" (where the user currently is) is clear to everyone.",ui ux expert
home_screen_03,homescreen,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/homescreen_02.png,dribbble,Match between system and the real world,"The ""Booster"" icon in the nav bar is a rocket ship. While a common metaphor, ""Booster"" could mean many things (performance, premium, speed-learning).",1,"Ensure the first-time user experience (onboarding) clearly explains what ""Booster"" entails, or use a more literal icon if it refers to a specific section like ""Shop"" or ""Upgrades.""",ui ux expert
content_01,contentScreen,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/content_01.png,dribbble,Consistency and standards,The 'Check Now' button in the bottom bar includes a small calendar icon on its right side that looks like a separate floating action button (FAB) inside the primary button. This creates ambiguity it is unclear if the whole black pill is one button or two separate interactive zones,2,Merge the calendar icon into the 'Check Now' text label or separate them clearly with more spacing. This ensures the user knows exactly where to tap to initiate the booking flow,ui ux expert
content_01,contentScreen,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/content_01.png,dribbble,Flexibility and efficiency of use,"The amenity tags (Gym Access, Outdoor Pool, etc.) are all styled identically and packed closely together. While they are categorized by icons, the sheer number of tags without a search or 'See all' progressive disclosure makes it difficult for a user to quickly find specific amenities important to them",1,"Group amenities into categories (e.g., 'Wellness', 'Facilities') or only show the top 4-6 most popular amenities with a 'Show more' button to reduce initial cognitive load",ui ux expert
content_02,contentScreen,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/content_02.png,dribbble,"Help users recognize, diagnose, and recover from errors","The 'Voucher Code' field is prominent, but there is no clear feedback mechanism if a code is invalid or expired. Often, these fields simply 'do nothing' or show a tiny red text that users miss on mobile",2,"Implement real-time inline validation. If a code is invalid, use a high-contrast error message (WCAG 1.4.1 - not just color) and suggest a solution, like 'Check for typos' or 'Code expired'",ui ux expert
content_02,contentScreen,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/content_02.png,dribbble,User control and freedom,"The screen lacks a clear 'Edit' function for the booking details (Dates, Guests) within this view. If the user realizes they selected the wrong dates, they must use the 'Back' arrow, which might risk losing their entered voucher or payment info",3,Add a small 'Edit' link or pencil icon next to the 'Booking Details' section. This allows users to adjust their selection without 'breaking' the linear checkout flow,ui ux expert
ecommerce_01,ecommerce,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/ecommerce_01.png,dribbble,Flexibility and efficiency of use,"The 'Special For You' section displays color swatches (circles) below product names. However, these are not interactive 'quick-select' buttons but mere indicators. This creates a 'clumsy' experience where a user expects to be able to change the product preview by tapping a color, but nothing happens",2,Allow users to tap the color swatches to update the product image instantly. This supports the 'Efficiency' heuristic by reducing the need for the user to navigate to a deep product detail page just to see a different color,ui ux expert
ecommerce_01,ecommerce,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/ecommerce_01.png,dribbble,Consistency and standards,"The bottom navigation bar uses a non-standard floating 'Home' button that breaks the linear alignment of the other icons (Wishlist, Cart, Profile). While aesthetically unique, it can lead to 'accidental taps' because the hit area is disproportionately larger than the surrounding icons",2,"Align the Home icon within the same horizontal plane as the other nav items, or ensure the touch target of the floating button doesn't overlap the empty space where users might try to tap for the Cart or Wishlist",ui ux expert
ecommerce_01,ecommerce,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/ecommerce_01.png,dribbble,Recognition rather than recall,"The 'Categories' (Shoes, Beauty, etc.) use circular photos rather than simplified icons. While realistic, at this small size, complex photos of 'Jewelry' or 'Beauty' products become a blur, forcing users to read the text label rather than instantly recognizing the category",1,Use high-contrast line icons or simplified illustrative icons for categories. Humans recognize shapes and silhouettes much faster than detailed photographic textures at small scales,ui ux expert
ecommerce_02,ecommerce,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/ecommerce_02.png,dribbble,Consistency and standards,"The bottom navigation bar uses a non-standard ""blob"" or floating bubble design. While visually unique, it merges the Home, Cart, and Menu into one organic shape, which can be confusing for users accustomed to distinct, spaced-out nav icons.",1,"Ensure each ""bubble"" has a clearly defined hit box. Follow standard spacing to avoid accidental taps.",ui ux expert
ecommerce_02,ecommerce,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/ecommerce_02.png,dribbble,WCAG Target Size,"The ""View All"" link and the ""Filter"" icon next to ""Discover"" appear very small. On mobile, these need to be at least $44 \times 44$ pixels to be easily tappable by all thumb sizes.",3,"Increase the padding/hit area around the ""View All"" text and the settings icon to prevent ""fat-finger"" errors.",ui ux expert
ecommerce_02,ecommerce,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/ecommerce_02.png,dribbble,Error Prevention,"The ""Shop Now"" button in the hero banner is positioned very close to the edge of the card. On some curved mobile displays, this could lead to registration issues or accidental swipes.",1,Increase the internal margin of the hero card to give the CTA (Call to Action) more breathing room.,ui ux expert
product_01,product,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/product_01.png,dribbble,Error Prevention,"There is a typo in the title: ""Lether Strap"" instead of ""Leather"". While minor, typos decrease user trust and ""aesthetic-usability"" perception.",1,"Fix the spelling to ""Leather"" to maintain a professional brand image.",ui ux expert
product_01,product,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/product_01.png,dribbble,Consistency and standards,"The ""Add To Cart"" button uses a ""Title Case"" format (""To"" is capitalized), which is inconsistent with common UI patterns. Furthermore, the heart (wishlist) icon is inside a dark circle with low contrast against the background.",2,"Use ""Add to Cart"" (sentence case) and increase the contrast of the heart icon button background to make it look more interactive.",ui ux expert
product_02,product,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/product_02.png,dribbble,Recognition rather than recall,"The top navigation contains a ""Back"" arrow and a ""Heart"" (Favorite) icon overlaid directly on the burgundy gradient. These icons are small and lack high contrast, making them easy to miss.",2,Place these icons in a circular container or increase their size and contrast to improve recognition.,ui ux expert
product_02,product,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/product_02.png,dribbble,Help and documentation,"The description text ends with an ellipsis (""Denominazione...""). There is no ""Read More"" button or expansion affordance, leaving the user without the full product story.",2,"Add a ""Read More"" link or ensure the text container is scrollable with a visual cue (like a fading edge) to indicate more content.",ui ux expert
product_02,product,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/product_02.png,dribbble,Flexibility and efficiency of use,"The ""Food Pairing"" tabs (Aroma, Grapes, etc.) use a very light, low-contrast font for inactive states. It is difficult to distinguish which tab is selected versus which are merely available.",3,"Use a bolder weight or a distinct ""active"" underline for the selected category. Darken inactive text so it remains legible.",ui ux expert
cart_01,cart,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/cart_01.png,mobbin,User control and freedom,"The ""Remove"" (X) button is placed close to the plus icon without a confirmation step. A user trying to increase quantity might accidentally delete the item from their cart.",3,"Add a ""undo"" snackbar after deletion or a confirmation prompt to prevent accidental data loss.",ui ux expert
cart_01,cart,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/cart_01.png,mobbin,WCAG,"The quantity steppers (minus and plus icons) and the ""Remove"" (X) icons are very thin and small. These are high-frequency interaction points and will be difficult to tap accurately on a mobile device.",3,Enlarge the stroke weight of the icons and ensure the tap target is at least $44 \times 44$ pixels to prevent user frustration.,ui ux expert
cart_01,cart,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/cart_01.png,mobbin,Visibility of system status,"The ""Checkout"" button is bold and clear, but there is no indication of the current payment method or delivery address before hitting the final CTA.",2,"Provide a small summary of the delivery location or payment method near the checkout button so the user feels ""ready"" to commit.",ui ux expert
cart_01,cart,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/cart_01.png,mobbin,Flexibility and efficiency of use,"The ""Add more items"" link is tucked away on the left in a small font. If a user realizes they forgot something, this path isn't as prominent as it should be to encourage higher basket value.",1,"Make ""Add more items"" a more distinct button or move it closer to the bottom of the list for better visibility.",ui ux expert
cart_02,cart,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/cart_02.png,freepik,Match between system and the real world,"The price is listed as ""$8 per pcs"". For a pizza, users expect a price per whole pizza or per slice. Using ""pcs"" (pieces) is vague is one ""piece"" a slice or a mini-pizza?",2,"Use clearer language like ""per slice"" or ""per whole pizza"" to prevent user confusion at checkout.",ui ux expert
cart_02,cart,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/cart_02.png,freepik,Visibility of system status,"Under ""Pizza Size"" and ""Cheese Level"", it is not immediately obvious which option is currently selected. The buttons all share a similar light gray background with no strong visual ""active"" state.",3,Use a high-contrast color (like the red from the 'Add to cart' button) or a thick border to clearly highlight the selected option.,ui ux expert
cart_02,cart,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/cart_02.png,freepik,Flexibility and efficiency of use,"The ""Pick up time"" dropdown (1:15 PM) is very small. Mobile users with larger fingers will find it difficult to trigger the selection menu without hitting the ""Today"" button or the Notes field.",3,Increase the height of the pick-up time input to at least 48px to improve hit success.,ui ux expert
cart_02,cart,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/cart_02.png,freepik,Consistency and standards,"The quantity stepper at the bottom ($+$ and $-$ buttons) is inverted compared to standard mobile patterns. Usually, the minus is on the left and the plus is on the right. This breaks muscle memory.",2,"Swap the icons so minus is on the left and plus is on the right. This follows the ""Match between system and the real world"" (number line) logic.",ui ux expert
cart_03,cart,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/cart_03.png,dribbble,Visibility of system status,"The quantity stepper has a high-contrast black background for the ""Plus"" (+) button but a very low-contrast white/light-gray for the ""Minus"" (-) button. This creates an ""imbalance of affordance"" where it's not clear if the minus button is disabled or just poorly styled.",3,"Give both the plus and minus buttons consistent styling (e.g., both outlined or both solid) to show they are equally interactive.",ui ux expert
cart_03,cart,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/cart_03.png,dribbble,WCAG contrast,"The weight of the items (e.g., ""1000gm"", ""500gm"") and the labels ""Subtotal"" and ""Delivery"" are extremely light gray. This fails the 4.5:1 ratio, making essential order details nearly invisible to some users.",4,Darken the metadata and subtotal labels to at least #757575 to ensure they are readable in various lighting conditions.,ui ux expert
payment_01,payment,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/payment_01.png,dribbble,Visibility of system status,"The green checkmark and ""Payment Successful"" heading provide excellent immediate feedback, letting the user know their primary goal was achieved.",0,Keep it as it is.Perfectly aligns with the nielsons 1st principle,ui ux expert
payment_01,payment,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/payment_01.png,dribbble,WCAG contrast,"The ""Payment Details"" labels (Transaction ID, Date, Type, Total, Status) are light gray on an even lighter gray background card. The contrast is extremely low, making this crucial receipt information nearly unreadable.",4,Increase the label text color to at least #767676. The values (on the right) should be a solid dark gray or black to ensure they can be read and screenshotted for records.,ui ux expert
payment_01,payment,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/payment_01.png,dribbble,WCAG contrast,"The ""Success"" status at the bottom of the card relies on a small green checkmark and green text. If the green is too light, color-blind users may not distinguish it from the background.",2,"Ensure the ""Success"" text is a darker, ""accessible green"" or bold the text to provide a secondary visual cue beyond just color.",ui ux expert
payment_01,payment,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/payment_01.png,dribbble,Flexibility and efficiency of use,"There is no ""Download Receipt"" or ""Share"" option. Users often need to save these details for their own records or business expenses without taking a manual screenshot.",2,"Add a ""Download PDF"" or ""Share"" icon near the Transaction ID to increase the utility of the success page.",ui ux expert
payment_02,payment,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/payment_02.png,dribbble,User control and freedom,"The primary CTA is ""Booking Now."" On a screen that just confirmed a payment was successful, this is highly confusing. Does it mean ""Book another"" or was the previous action not a booking?",4,"Change the button to ""View Receipt,"" ""Go to My Bookings,"" or ""Home."" A ""Success"" page should offer an exit or a next step, not a repeat of the action just completed.",ui ux expert
payment_02,payment,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/payment_02.png,dribbble,Error Prevention,"There is no ""Back"" or ""Close"" (X) button at the top. If a user doesn't want to click the giant blue ""Booking Now"" button, they might feel ""trapped"" on this confirmation page.",2,"Add a ""Close"" icon in the top right or a ""Back to Dashboard"" text link to provide a clear exit path.",ui ux expert
payment_02,payment,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/payment_02.png,dribbble,Help and documentation,"There is no way to ""Share"" or ""Save"" this confirmation. If the user needs to prove payment to a third party immediately, they are forced to take a screenshot.",2,"Add a ""Share"" or ""Download PDF"" icon to the receipt card to improve the ""Efficiency of Use.""",ui ux expert
profile_01,profile,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/profile_01.png,mobbin,Flexibility and efficiency of use,"The ""Logout"" button is placed at the bottom of a very long list of settings. If a user needs to quickly switch accounts or secure their device, the logout is buried.",2,"While its placement is common, ensure it's visually distinct. The red background helps, but it may be too close to the bottom navigation bar.",ui ux expert
profile_01,profile,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/profile_01.png,mobbin,WCAG target size,"The ""Edit"" (pencil) icon on the profile picture is extremely small. It overlaps with the profile image border, making it a difficult target for thumb interaction.",2,Increase the size of the pencil icon button to at least 32px diameter with a larger internal touch padding to reach 44px.,ui ux expert
profile_02,profile,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/profile_02.png,dribbble,Consistency and standards,"The menu item ""Invites Friends"" uses an ungrammatical label (should be ""Invite Friends""). Minor linguistic errors like this can reduce the perceived professionalism of the system.",1,"Update the label to ""Invite Friends"" to align with standard action-oriented menu conventions.",ui ux expert
profile_02,profile,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/profile_02.png,dribbble,Error Prevention,"The ""Logout"" button is styled exactly like every other menu item, with the only difference being the icon. A user scrolling quickly might accidentally trigger a logout when they meant to check ""About Us.""",2,"Add a distinct color (like red) to the Logout text or icon, or include a confirmation dialog to prevent accidental account exits.",ui ux expert
search_01,search,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/search_01.png,freepik,Visibility of system status,"The ""Search"" input uses a very thin border and light placeholder text. It lacks a strong ""Focus"" state, making it hard to tell if the cursor is active or if the system is currently filtering.",2,Add a slightly thicker border or a subtle shadow when the search bar is active to provide clear feedback.,ui ux expert
search_01,search,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/search_01.png,freepik,Error Prevention,"The search term ""write"" is active, but there is no ""X"" or ""Clear"" button within the search bar to quickly reset the query. This forces the user to manually backspace.",2,"Add a ""Clear"" (X) icon on the right side of the search input field to allow for easy error correction and query resetting.",ui ux expert
search_02,search,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/search_02.png,dribbble,"Help Users Recognize, Diagnose, and Recover from Errors","The ""No results found"" message is purely descriptive. It tells the user there is a problem but provides no ""recovery path"" (e.g., suggesting alternative keywords or categories).",2,"Add a ""Clear Search"" button or suggested tags (e.g., ""Try: Design, Art, History"") to keep the user engaged.",ui ux expert
search_02,search,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/search_02.png,dribbble,WCAG Use of color,"The neon yellow player bar at the bottom is highly visible, but the black text/icons on top of it may be vibrating for some users. Furthermore, the active ""Search"" tab in the nav bar is only indicated by a slightly darker green/yellow.",3,"Ensure the ""Active"" state in the bottom navigation uses more than just a color shift (e.g., a bolder icon or a solid underline) to assist color-blind users.",ui ux expert
search_02,search,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/search_02.png,dribbble,Consistency and standards,"The typography used throughout the page seems to be inconsistent as there are 3 different fonts used in the page.This creates a slight ""Internal Consistency"" break.",2,Align the typography of headings across the entire app to maintain a unified brand identity.,ui ux expert
ride_booking_01,ride_booking,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/ride_booking_01.png,mobbin,Flexibility and efficiency of use,"The ""Cheaper"" badge on the Reguler ride uses white text on a bright green background. While high-contrast, the badge itself is small and may be missed by users quickly scanning for the best deal.",1,"Increase the font size of the badge or move it closer to the price to ensure the ""Efficiency"" of finding the best deal is maximized.",ui ux expert
ride_booking_01,ride_booking,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/ride_booking_01.png,mobbin,Aesthetic and minimalist design,"The map background is very busy and uses thin lines. The ""Krisna Rajen..."" label is dark green/black, which blends into the map's road detail.",2,Add a subtle outer glow or drop shadow to the address labels on the map to separate the UI from the background map data.,ui ux expert
ride_booking_02,ride_booking,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/ride_booking_02.png,mobbin,Recognition rather than recall,"The ""strikethrough"" prices (e.g., $32.03) are very small and faint. It’s hard to tell if these are discounts or old prices.",2,"Make the original price and the ""discounted"" status more prominent to give the user a clear sense of value.",ui ux expert
ride_booking_02,ride_booking,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/ride_booking_02.png,mobbin,Consistency and standards,"The pricing hierarchy is inverted. The ""Ride XL"" (6 people) is cheaper ($24.27) than ""Comfort"" (3 people) at $28.43.",3,"Ensure pricing logic follows user mental models. Typically, larger vehicles or higher tiers cost more.",ui ux expert
settings_01,settings,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/settings_01.png,dribbble,Aesthetic and minimalist design,"The icons are contained within boxes that have glowing, multi-colored gradients and borders. While visually modern, this adds significant 'visual noise' and high cognitive load that can distract from the functional task of navigating text-based settings.",2,Simplify the icon containers by using flat colors or subtle borders to maintain a minimalist aesthetic that prioritizes content readability over decorative effects,ui ux expert
settings_01,settings,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/settings_01.png,dribbble,Consistency and standards,"The icon for 'Notifications' in the General section and 'Reminders' in the Productivity section both use an identical bell symbol. This can cause confusion as different functions are represented by the same visual metaphor, breaking the standard of unique iconography for distinct features",3,Differentiate the 'Reminders' icon by using a checklist or clock symbol to provide a clearer 'Match between system and the real world' and avoid visual duplication,ui ux expert
settings_02,settings,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/settings_02.png,dribbble,Consistency and standards,"The toggle switches for Notifications and the navigation rows are vertically compressed. On mobile devices, these small hit areas increase the likelihood of 'fat-finger' errors where the user triggers the wrong setting.",1,Remove the period from 'Payment Methods' to maintain a uniform visual style across all menu items.,ui ux expert
settings_02,settings,https://fypuiuploads.s3.eu-north-1.amazonaws.com/dataset_uis/settings_02.png,dribbble,WCAG Target size,"The toggle switches for Notifications and the navigation rows are vertically compressed. On mobile devices, these small hit areas increase the likelihood of 'fat-finger' errors where the user triggers the wrong setting.",2,Increase the vertical height of each row to at least 44px to ensure they meet standard mobile touch target requirements for better operability.,ui ux expert
